rank,pozo_id,empresa_grupo,formacion,petroleo_total_m3,gas_total_mm3,boe_acumulado,meses_activo,primer_mes,ultimo_mes
130,162933,Tecpetrol,VACA MUERTA,6671.403092,281747.8877,1658410028.0,54,2022-01-01,2026-06-01
131,162797,YPF,VACA MUERTA,290.17,281730.66,1658268487.0,56,2021-11-01,2026-06-01
132,163265,Pan American Energy,VACA MUERTA,0.0,281150.2875,1654850596.0,49,2022-05-01,2026-05-01
133,159398,Tecpetrol,VACA MUERTA,28605.824276,280483.68913,1651106921.0,97,2018-06-01,2026-06-01
134,160003,TotalEnergies,VACA MUERTA,0.0,280015.3244,1648170200.0,93,2018-10-01,2026-06-01
135,160815,Pluspetrol,VACA MUERTA,33077.114,279928.576,1647867652.0,84,2019-07-01,2026-06-01
136,158922,Tecpetrol,VACA MUERTA,24595.408115,279819.6852,1647173369.0,102,2018-01-01,2026-06-01
137,163857,YPF,VACA MUERTA,1410.19,279569.31,1645553828.0,43,2022-12-01,2026-06-01
138,164075,Pan American Energy,VACA MUERTA,0.0,278856.4554,1641349097.0,40,2023-02-01,2026-05-01
139,158920,Tecpetrol,VACA MUERTA,21583.786538,278087.6398,1636959610.0,102,2018-01-01,2026-06-01
140,162599,Pan American Energy,VACA MUERTA,0.0,277351.7614,1632492467.0,58,2021-08-01,2026-05-01
141,162357,Tecpetrol,VACA MUERTA,26516.64867,277006.758,1630628568.0,62,2021-05-01,2026-06-01
142,163400,Tecpetrol,VACA MUERTA,21482.9961,276093.759,1625222994.0,48,2022-07-01,2026-06-01
143,162320,Tecpetrol,VACA MUERTA,6968.895298,275889.66688,1623930417.0,62,2021-05-01,2026-06-01
144,159531,Tecpetrol,VACA MUERTA,5747.943172,275843.1916,1623649179.0,96,2018-07-01,2026-06-01
145,158931,Tecpetrol,VACA MUERTA,4412.62511,275784.4481,1623295014.0,102,2018-01-01,2026-06-01
146,159566,Tecpetrol,VACA MUERTA,28560.72706,275266.8393,1620400265.0,95,2018-08-01,2026-06-01
147,159530,Tecpetrol,VACA MUERTA,5892.805788,274625.6785,1616483804.0,96,2018-07-01,2026-06-01
148,162571,YPF,VACA MUERTA,1527.87,273713.4,1611086681.0,59,2021-08-01,2026-06-01
149,163426,YPF,VACA MUERTA,560.65,273227.52,1608220712.0,48,2022-07-01,2026-06-01
150,162325,Pluspetrol,VACA MUERTA,26202.032,273057.495,1607381224.0,62,2021-05-01,2026-06-01
151,164251,Pampa Energía,VACA MUERTA,0.0,272957.5326,1606628038.0,37,2023-05-01,2026-05-01
152,161526,TotalEnergies,VACA MUERTA,0.0,272267.2321,1602564929.0,79,2019-12-01,2026-06-01
