pozo_id,empresa_grupo,formacion,fase_ajustada,anio_inicio,qi,di_anual_pct,b_factor,eur_nativo,eur_boe,np_actual_nativo,factor_recup_pct,r2,n_meses_ajuste,meses_hasta_pico,calidad_fit
159636,TotalEnergies,VACA MUERTA,GAS,2018,10049.8,83.1,1.251,348271.4,2049925.0,233685.5,67.1,0.9894,94,2,BUENO
159353,Tecpetrol,VACA MUERTA,GAS,2018,8726.2,52.7,0.747,347999.4,2048324.0,257414.7,74.0,0.8879,96,2,BUENO
165246,Chevron,VACA MUERTA,PETROLEO,2024,4685.8,68.8,2.0,325330.2,2046262.0,63883.6,19.6,0.3489,8,20,DESCARTADO
163007,YPF,VACA MUERTA,GAS,2022,9150.7,50.5,0.615,347313.0,2044284.0,219405.2,63.2,0.5752,51,4,REGULAR
166908,Vista Energy,VACA MUERTA,PETROLEO,2025,6085.5,82.6,2.0,324057.6,2038257.0,35637.7,11.0,0.9065,7,2,BUENO
160192,ExxonMobil,VACA MUERTA,GAS,2019,12246.0,86.6,0.906,345903.1,2035986.0,275780.4,79.7,0.8292,77,14,BUENO
161868,Vista Energy,VACA MUERTA,PETROLEO,2020,11774.8,93.8,1.303,323665.9,2035794.0,195676.1,60.5,0.9379,70,1,BUENO
162230,Pan American Energy,VACA MUERTA,GAS,2021,14525.0,88.5,0.977,345430.4,2033203.0,235966.0,68.3,0.8677,63,2,BUENO
165757,Pan American Energy,VACA MUERTA,GAS,2024,17886.9,76.9,0.596,345380.7,2032911.0,202040.5,58.5,0.7919,19,3,BUENO
158931,Tecpetrol,VACA MUERTA,GAS,2018,14878.2,84.7,0.894,345320.5,2032556.0,276409.3,80.0,0.8064,101,2,BUENO
160578,Tecpetrol,VACA MUERTA,GAS,2019,8428.2,84.2,1.076,345005.1,2030700.0,255808.5,74.1,0.6813,67,19,REGULAR
161527,TotalEnergies,VACA MUERTA,GAS,2019,7348.8,69.1,1.289,344956.4,2030413.0,194835.2,56.5,0.9791,68,12,BUENO
165205,Tecpetrol,VACA MUERTA,GAS,2024,16216.1,82.1,0.763,344914.0,2030164.0,199404.9,57.8,0.9355,27,2,BUENO
162975,Pan American Energy,VACA MUERTA,PETROLEO,2022,6974.0,92.0,1.939,321849.5,2024369.0,144601.4,44.9,0.9318,52,3,BUENO
164004,Pluspetrol,VACA MUERTA,GAS,2023,15822.0,88.1,0.614,343464.4,2021631.0,285639.7,83.2,0.9224,25,17,BUENO
163170,YPF,VACA MUERTA,GAS,2022,10288.1,100.0,2.0,343454.0,2021570.0,163325.3,47.6,0.4949,43,9,REGULAR
159461,TotalEnergies,VACA MUERTA,GAS,2018,9915.5,89.9,1.416,343232.2,2020265.0,226530.6,66.0,0.9807,95,4,BUENO
162181,Pluspetrol,VACA MUERTA,GAS,2021,13359.2,85.5,0.998,343199.8,2020074.0,220156.8,64.1,0.8067,62,3,BUENO
159338,Tecpetrol,VACA MUERTA,GAS,2018,10137.4,71.8,0.954,342559.1,2016303.0,252506.8,73.7,0.8439,97,2,BUENO
164232,Tecpetrol,VACA MUERTA,GAS,2023,10850.0,59.3,0.651,342382.0,2015260.0,196715.2,57.5,0.7706,37,3,BUENO
158039,YPF,VACA MUERTA,GAS,2017,7572.2,47.8,0.645,341710.4,2011307.0,272808.2,79.8,0.8817,103,8,BUENO
164319,Pan American Energy,VACA MUERTA,GAS,2023,12032.6,50.4,0.378,341389.7,2009420.0,238329.5,69.8,0.8085,36,3,BUENO
160191,ExxonMobil,VACA MUERTA,GAS,2019,13354.6,64.1,0.593,341308.3,2008941.0,290025.4,85.0,0.8512,85,6,BUENO
162824,Pan American Energy,VACA MUERTA,GAS,2021,11168.2,68.8,0.776,340761.0,2005719.0,219091.8,64.3,0.8724,51,6,BUENO
163265,Pan American Energy,VACA MUERTA,GAS,2022,15192.1,59.1,0.391,340680.3,2005244.0,285010.1,83.7,0.9159,49,2,BUENO
160693,YPF,VACA MUERTA,PETROLEO,2019,7856.3,97.0,1.803,318222.5,2001556.0,194023.9,61.0,0.6277,79,7,REGULAR
166676,YPF,VACA MUERTA,GAS,2025,14734.3,100.0,1.663,339978.2,2001112.0,95896.1,28.2,0.6075,8,5,REGULAR
162323,Tecpetrol,VACA MUERTA,GAS,2021,21544.8,94.2,0.863,339949.0,2000940.0,267447.0,78.7,0.9051,61,2,BUENO
166784,YPF,VACA MUERTA,PETROLEO,2025,10606.3,98.3,1.536,318063.5,2000556.0,72498.2,22.8,0.9961,7,5,BUENO
166658,Vista Energy,VACA MUERTA,PETROLEO,2025,8509.4,98.8,2.0,317893.9,1999489.0,59175.8,18.6,0.9579,11,2,BUENO
163855,YPF,VACA MUERTA,GAS,2022,9328.2,99.2,2.0,339155.0,1996266.0,135653.8,40.0,0.6452,41,3,REGULAR
162595,Tecpetrol,VACA MUERTA,GAS,2021,12801.0,69.1,0.646,338910.9,1994830.0,257697.2,76.0,0.8833,56,4,BUENO
159339,Tecpetrol,VACA MUERTA,GAS,2018,10229.0,70.2,0.926,336896.1,1982970.0,245924.8,73.0,0.8775,98,1,BUENO
162335,YPF,VACA MUERTA,GAS,2021,16508.6,95.7,1.092,336381.6,1979942.0,222609.5,66.2,0.816,62,1,BUENO
163236,YPF,VACA MUERTA,PETROLEO,2022,6867.8,93.8,2.0,314755.6,1979750.0,138073.5,43.9,0.4998,47,4,REGULAR
165277,YPF,VACA MUERTA,PETROLEO,2024,7462.3,81.6,1.44,314213.5,1976340.0,105248.2,33.5,0.5123,24,4,REGULAR
165701,Vista Energy,VACA MUERTA,PETROLEO,2024,9662.8,89.9,1.359,313558.7,1972222.0,96837.1,30.9,0.9834,20,2,BUENO
166179,Pluspetrol,VACA MUERTA,GAS,2025,12562.7,100.0,2.0,334940.7,1971461.0,84210.7,25.1,0.3278,12,7,DESCARTADO
165577,YPF,VACA MUERTA,PETROLEO,2024,4266.5,16.0,0.01,313160.0,1969714.0,94649.1,30.2,0.062,20,4,DESCARTADO
166664,Tecpetrol,VACA MUERTA,GAS,2025,15669.8,100.0,2.0,334354.5,1968011.0,81605.4,24.4,0.4149,12,1,REGULAR
164809,YPF,VACA MUERTA,PETROLEO,2023,7707.0,98.3,2.0,312015.1,1962513.0,112667.0,36.1,0.4268,28,5,REGULAR
163977,Vista Energy,VACA MUERTA,PETROLEO,2022,6808.3,91.9,2.0,311968.6,1962220.0,115548.3,37.0,0.6172,41,10,REGULAR
165575,YPF,VACA MUERTA,PETROLEO,2024,3987.2,50.2,2.0,311844.7,1961441.0,68710.2,22.0,0.1671,21,3,DESCARTADO
159670,Tecpetrol,VACA MUERTA,GAS,2018,11631.5,84.9,1.09,332887.8,1959378.0,233576.2,70.2,0.6025,94,1,REGULAR
163421,YPF,VACA MUERTA,PETROLEO,2022,5564.2,84.6,2.0,311465.3,1959054.0,132295.1,42.5,0.2942,44,5,DESCARTADO
163298,Shell,VACA MUERTA,PETROLEO,2022,2333.0,0.1,2.0,310884.9,1955404.0,82944.8,26.7,-0.0002,34,15,DESCARTADO
159963,Tecpetrol,VACA MUERTA,GAS,2018,13188.5,54.8,0.393,332149.8,1955034.0,310051.3,93.3,0.9314,89,5,BUENO
162934,Tecpetrol,VACA MUERTA,GAS,2022,26099.6,97.5,0.871,331846.1,1953246.0,267239.7,80.5,0.8842,53,2,BUENO
162123,Tecpetrol,VACA MUERTA,GAS,2021,9578.4,86.6,1.354,331778.7,1952849.0,184789.1,55.7,0.8208,65,2,BUENO
161998,Vista Energy,VACA MUERTA,PETROLEO,2020,9575.9,99.6,1.886,310193.6,1951056.0,160083.8,51.6,0.8309,64,4,BUENO
160815,Pluspetrol,VACA MUERTA,GAS,2019,11581.3,57.2,0.504,330525.8,1945475.0,280036.6,84.7,0.9414,77,8,BUENO
165700,Vista Energy,VACA MUERTA,PETROLEO,2024,6470.1,57.5,1.092,309014.9,1943642.0,86082.9,27.9,0.8766,20,2,BUENO
158930,Tecpetrol,VACA MUERTA,GAS,2018,14928.9,86.0,0.886,330156.0,1943298.0,269378.7,81.6,0.8479,101,2,BUENO
166550,YPF,VACA MUERTA,PETROLEO,2025,5845.6,83.4,2.0,308355.5,1939494.0,52982.7,17.2,0.6519,13,2,REGULAR
165174,YPF,VACA MUERTA,PETROLEO,2024,10426.0,98.9,1.632,308047.5,1937557.0,113655.7,36.9,0.6964,27,2,REGULAR
164780,Tecpetrol,VACA MUERTA,GAS,2023,13261.3,82.7,0.856,328037.9,1930831.0,185412.9,56.5,0.7923,30,3,BUENO
