empresa_grupo,anio,petroleo_m3,gas_mm3,boe,pozos
Oilstone,2025,279.200924,0.0,1756.0,10
Roch,2011,222.258,0.0,1397.0,1
Oilstone,2024,172.58297,0.0,1087.0,7
Oilstone,2026,78.58036799999999,0.0,495.0,10
Tecpetrol,2012,16.065,0.0,101.0,1
Roch,2024,14.1,0.0,89.0,1
Patagonia,2026,0.0,0.0,0.0,2
YPF,2008,0.0,0.0,0.0,96
Ysur,2017,0.0,0.0,0.0,2
Petrobras,2013,0.0,0.0,0.0,2
Roch,2026,0.0,0.0,0.0,1
Roch,2025,0.0,0.0,0.0,1
YPF,2006,0.0,0.0,0.0,92
YPF,2007,0.0,0.0,0.0,92
Ysur,2015,0.0,0.0,0.0,2
Argenta,2025,0.0,0.0,0.0,3
Argenta,2020,0.0,0.0,0.0,1
Apco,2018,0.0,0.0,0.0,4
Apache,2013,0.0,0.0,0.0,2
Apache,2014,0.0,0.0,0.0,2
Argenta,2017,0.0,0.0,0.0,1
Argenta,2018,0.0,0.0,0.0,1
Apco,2019,0.0,0.0,0.0,4
Argenta,2015,0.0,0.0,0.0,1
Argenta,2019,0.0,0.0,0.0,1
Ysur,2016,0.0,0.0,0.0,2
Argenta,2021,0.0,0.0,0.0,1
Argenta,2022,0.0,0.0,0.0,1
Argenta,2024,0.0,0.0,0.0,3
Argenta,2023,0.0,0.0,0.0,1
Argenta,2026,0.0,0.0,0.0,3
Tecpetrol,2007,0.0,0.0,0.0,1
O&g,2012,0.0,0.0,0.0,1
Hattrick,2026,0.0,0.0,0.0,2
Kilwer,2006,0.0,0.0,0.0,2
Kilwer,2007,0.0,0.0,0.0,2
Kilwer,2008,0.0,0.0,0.0,2
Kilwer,2009,0.0,0.0,0.0,2
Kilwer,2010,0.0,0.0,0.0,2
Kilwer,2011,0.0,0.0,0.0,2
Hattrick,2025,0.0,0.0,0.0,2
Tecpetrol,2008,0.0,0.0,0.0,1
Tecpetrol,2010,0.0,0.0,0.0,1
Tecpetrol,2009,0.0,0.0,0.0,1
Tecpetrol,2011,0.0,0.0,0.0,1
TotalEnergies,2007,0.0,0.0,0.0,1
TotalEnergies,2008,0.0,0.0,0.0,1
TotalEnergies,2009,0.0,0.0,0.0,1
Tecpetrol,2006,0.0,0.0,0.0,1
Gas,2010,0.0,0.0,0.0,7
Energicon,2017,0.0,0.0,0.0,1
Exxonmobil,2011,0.0,0.0,0.0,1
Exxonmobil,2012,0.0,0.0,0.0,1
Exxonmobil,2013,0.0,0.0,0.0,1
Exxonmobil,2016,0.0,0.0,0.0,2
Energicon,2018,0.0,0.0,0.0,1
Continental,2026,0.0,0.0,0.0,4
Grecoil,2019,0.0,0.0,0.0,1
TotalEnergies,2010,0.0,0.0,0.0,1
Energicon,2016,0.0,0.0,0.0,1
TotalEnergies,2011,0.0,0.0,0.0,3
Venoil,2025,0.0,0.0,0.0,7
Venoil,2026,0.0,0.0,0.0,7
Ysur,2018,0.0,0.0,0.0,2
