pozo_id,empresa_grupo,water_cut_prom,gor_prom,petroleo_prom_m3,meses,etapa_pozo
145737,YPF,15.4,899.8,41.2290243902439,123,Temprano (<30%)
145738,YPF,11.2,175.8,88.17021978021978,91,Temprano (<30%)
145739,YPF,10.2,359.3,107.07966292134832,89,Temprano (<30%)
145740,YPF,9.2,203.0,119.71926470588235,68,Temprano (<30%)
145752,Americas Petrogas,49.1,476.8,143.4296923076923,26,Intermedio (30-60%)
145808,Gas y Petróleo Nqn,67.5,155.3,205.91666666666666,3,Maduro (>60%)
145808,Wintershall,27.8,37855.6,160.3612857142857,7,Temprano (<30%)
145869,YPF,32.3,604.2,75.0675641025641,78,Intermedio (30-60%)
145870,YPF,24.1,340.0,51.29604651162791,86,Temprano (<30%)
145871,YPF,25.4,707.7,107.5013924050633,79,Temprano (<30%)
145872,YPF,26.9,826.1,158.81484536082473,97,Temprano (<30%)
145873,YPF,17.2,402.0,248.8814492753623,69,Temprano (<30%)
145874,YPF,13.7,279.8,137.02621621621623,111,Temprano (<30%)
145875,YPF,17.3,530.8,197.53103092783505,97,Temprano (<30%)
145881,YPF,13.2,209.9,108.17268518518519,108,Temprano (<30%)
145882,YPF,5.3,161.8,139.82516666666666,60,Temprano (<30%)
145883,YPF,8.1,164.7,204.13826086956524,69,Temprano (<30%)
145884,YPF,14.3,153.5,95.2291011235955,89,Temprano (<30%)
145885,YPF,12.3,226.8,92.2164,100,Temprano (<30%)
145886,YPF,9.4,209.4,94.03948148148149,135,Temprano (<30%)
145887,YPF,20.4,640.7,74.04298387096775,124,Temprano (<30%)
145888,YPF,6.6,281.8,112.95872093023257,86,Temprano (<30%)
145889,YPF,7.8,197.6,129.8451,100,Temprano (<30%)
145890,YPF,8.4,103.7,153.21113636363637,44,Temprano (<30%)
145972,Chevron,49.5,889.5,128.21208333333334,48,Intermedio (30-60%)
145974,O&G Developments,64.6,270.3,360.5,4,Maduro (>60%)
145976,TotalEnergies,36.7,619.7,127.00250000000001,29,Intermedio (30-60%)
145984,TotalEnergies,78.9,73688.0,13.14937335074627,134,Maduro (>60%)
146039,YPF,41.4,257.7,72.97966101694915,59,Intermedio (30-60%)
146040,YPF,15.5,645.6,82.31733333333334,90,Temprano (<30%)
146046,YPF,14.5,142.4,187.9192523364486,107,Temprano (<30%)
146047,YPF,11.9,225.1,155.17957983193276,119,Temprano (<30%)
146048,YPF,12.8,150.4,146.95601694915254,118,Temprano (<30%)
146049,YPF,12.3,226.5,118.96875,120,Temprano (<30%)
146050,YPF,6.3,127.2,97.81458015267175,131,Temprano (<30%)
146051,YPF,19.1,206.1,80.14252252252253,111,Temprano (<30%)
146207,YPF,33.4,0.0,35.01846153846154,26,Intermedio (30-60%)
146212,YPF,56.2,1037.2,93.83794117647058,68,Intermedio (30-60%)
146213,YPF,21.7,884.1,20.04339285714286,112,Temprano (<30%)
146214,YPF,35.0,493.9,153.38782051282053,78,Intermedio (30-60%)
146215,YPF,13.4,423.8,172.0982558139535,86,Temprano (<30%)
146221,YPF,22.7,150.3,94.39160493827161,81,Temprano (<30%)
146222,YPF,22.4,86.2,91.45519685039369,127,Temprano (<30%)
146223,YPF,13.3,195.4,114.87174757281554,103,Temprano (<30%)
146224,YPF,4.7,153.7,465.70768115942025,138,Temprano (<30%)
146225,YPF,21.0,236.1,207.67070175438596,114,Temprano (<30%)
146226,YPF,11.6,298.2,254.37617391304346,115,Temprano (<30%)
146227,YPF,10.9,258.8,240.6892452830189,106,Temprano (<30%)
146275,Argenta,68.1,1169.7,40.25,4,Maduro (>60%)
146278,Chevron,47.5,351.5,105.7654054054054,74,Intermedio (30-60%)
146712,TotalEnergies,58.2,2161.1,93.17943030232558,43,Intermedio (30-60%)
146712,Vaca,62.1,11454.5,0.11,1,Maduro (>60%)
146773,YPF,16.1,370.7,98.17885714285715,140,Temprano (<30%)
146774,YPF,30.3,1081.5,37.28568,125,Intermedio (30-60%)
146775,YPF,31.5,818.6,110.90578125,64,Intermedio (30-60%)
146776,YPF,33.1,532.1,62.68368421052631,114,Intermedio (30-60%)
146777,YPF,16.1,694.2,72.45626666666666,75,Temprano (<30%)
146779,YPF,8.1,113.8,119.10915094339623,106,Temprano (<30%)
146887,TotalEnergies,72.1,165.0,106.99238389256199,121,Maduro (>60%)
146977,YPF,99.1,512412.1,2.05,5,Maduro (>60%)
146978,YPF,99.4,3165370.2,2.01,2,Maduro (>60%)
146979,YPF,99.2,660681.6,1.8266666666666664,9,Maduro (>60%)
146980,YPF,98.0,1319819.3,9.245999999999999,5,Maduro (>60%)
146981,YPF,7.2,268.6,186.1535,60,Temprano (<30%)
146982,YPF,10.7,496.4,70.61013605442177,147,Temprano (<30%)
146983,YPF,19.8,398.3,116.14770114942529,87,Temprano (<30%)
146984,YPF,14.8,358.7,82.11186206896551,145,Temprano (<30%)
146985,YPF,22.3,305.9,109.66038461538461,78,Temprano (<30%)
146986,YPF,10.0,401.9,53.24700787401575,127,Temprano (<30%)
146987,YPF,11.5,249.9,73.50105263157894,133,Temprano (<30%)
146988,YPF,37.7,368.7,89.77063636363637,110,Intermedio (30-60%)
146989,YPF,43.6,729.3,179.25470588235294,17,Intermedio (30-60%)
146990,YPF,23.7,464.7,44.58635294117647,85,Temprano (<30%)
146991,YPF,19.5,259.0,91.3166037735849,106,Temprano (<30%)
146992,YPF,6.5,359.9,159.49379562043796,137,Temprano (<30%)
146999,YPF,19.4,312.5,168.60638888888892,108,Temprano (<30%)
147000,YPF,13.0,150.1,155.17142857142858,91,Temprano (<30%)
147001,YPF,8.0,149.9,144.49451612903226,93,Temprano (<30%)
147002,YPF,9.3,242.1,110.02695652173912,138,Temprano (<30%)
147021,O&G Developments,4.1,86.2,758.2345384660599,49,Temprano (<30%)
147021,Shell,5.7,83.1,322.0134615384615,78,Temprano (<30%)
147153,YPF,28.7,591.4,50.600419580419576,143,Temprano (<30%)
147154,YPF,13.3,296.0,44.19705882352941,136,Temprano (<30%)
147155,YPF,28.1,1173.8,120.91496598639456,147,Temprano (<30%)
147156,YPF,35.0,1812.1,106.6369387755102,147,Intermedio (30-60%)
147157,YPF,24.5,1421.6,124.50360544217686,147,Temprano (<30%)
147158,YPF,42.3,1869.8,101.12386206896551,145,Intermedio (30-60%)
147165,YPF,13.1,348.3,212.96879432624112,141,Temprano (<30%)
147166,YPF,7.2,861.6,148.3673786407767,103,Temprano (<30%)
147167,YPF,7.1,264.4,139.19882352941178,102,Temprano (<30%)
147190,ExxonMobil,22.8,667.3,611.3535632183908,87,Temprano (<30%)
147190,Pluspetrol,42.9,8923.4,330.85266666666666,15,Intermedio (30-60%)
147284,YPF,50.1,2250.2,183.445,20,Intermedio (30-60%)
147292,YPF,6.9,306.5,158.9288,100,Temprano (<30%)
147293,YPF,23.4,582.5,124.7041095890411,146,Temprano (<30%)
147294,YPF,55.1,1147.0,65.04561643835616,146,Intermedio (30-60%)
147295,YPF,30.6,910.2,86.81413793103448,145,Intermedio (30-60%)
147296,YPF,38.2,711.6,75.67541095890411,146,Intermedio (30-60%)
147297,YPF,10.0,690.1,138.45979452054794,146,Temprano (<30%)
147298,YPF,20.0,746.9,108.11,146,Temprano (<30%)
147299,YPF,12.2,616.0,130.83513698630136,146,Temprano (<30%)
147300,YPF,24.1,757.4,95.13801369863013,146,Temprano (<30%)
147301,YPF,19.9,841.1,85.15335616438355,146,Temprano (<30%)
147302,YPF,15.1,891.2,84.66958904109589,146,Temprano (<30%)
147312,YPF,5.0,305.6,69.07828571428571,105,Temprano (<30%)
147313,YPF,10.5,282.0,92.297125,80,Temprano (<30%)
147314,YPF,9.8,147.7,88.16735632183908,87,Temprano (<30%)
147315,YPF,6.6,122.8,38.86622448979592,98,Temprano (<30%)
147316,YPF,19.2,226.0,135.3728431372549,102,Temprano (<30%)
